Episode 598; Average Reward: 278.94
Episode 599; Average Reward: 276.92
Episode 600; Average Reward: 267.08
Episode 601; Average Reward: 268.30
Episode 602; Average Reward: 266.72
Episode 603; Average Reward: 266.53
Episode 604; Average Reward: 265.43
Episode 605; Average Reward: 265.43
Episode 606; Average Reward: 264.31
Episode 607; Average Reward: 263.29
Episode 608; Average Reward: 263.19
Episode 609; Average Reward: 264.01
Episode 610; Average Reward: 264.03
Episode 611; Average Reward: 261.51
Episode 612; Average Reward: 261.94
Episode 613; Average Reward: 261.33
Episode 614; Average Reward: 264.73
Episode 615; Average Reward: 265.12
Episode 616; Average Reward: 268.74
Episode 617; Average Reward: 269.89
Episode 618; Average Reward: 268.55
Episode 619; Average Reward: 267.59
Episode 620; Average Reward: 268.02
Episode 621; Average Reward: 267.91
Episode 622; Average Reward: 269.07
Episode 623; Average Reward: 267.19
Episode 624; Average Reward: 267.16
Episode 625; Average Reward: 269.13
Episode 626; Average Reward: 268.00
Episode 627; Average Reward: 266.77
Episode 628; Average Reward: 267.64
Episode 629; Average Reward: 267.72
Episode 630; Average Reward: 268.40
Episode 631; Average Reward: 266.36
Episode 632; Average Reward: 266.72
Episode 633; Average Reward: 270.14
Episode 634; Average Reward: 271.69
Episode 635; Average Reward: 271.92
Episode 636; Average Reward: 275.33
Episode 637; Average Reward: 278.37
Episode 638; Average Reward: 279.10
Episode 639; Average Reward: 278.05
Episode 640; Average Reward: 277.37
Episode 641; Average Reward: 273.78
Episode 642; Average Reward: 276.73
Episode 643; Average Reward: 277.01
Episode 644; Average Reward: 275.80
Episode 645; Average Reward: 277.12
Episode 646; Average Reward: 276.47
Episode 647; Average Reward: 275.42
Episode 648; Average Reward: 275.02
Episode 649; Average Reward: 271.00
Episode 650; Average Reward: 273.33
Episode 651; Average Reward: 274.73
Episode 652; Average Reward: 272.46
Episode 653; Average Reward: 270.89
Episode 654; Average Reward: 274.07
Episode 655; Average Reward: 275.91
Episode 656; Average Reward: 278.08
Episode 657; Average Reward: 280.48
Episode 658; Average Reward: 280.47
Episode 659; Average Reward: 284.45
