Using device: cuda
Episode 315, Total Reward: 84.67000000000118, Epsilon: 0.050
Episode 316, Total Reward: 84.42000000000012, Epsilon: 0.050
Episode 317, Total Reward: 91.64999999999931, Epsilon: 0.050
Episode 318, Total Reward: 181.44999999999996, Epsilon: 0.050
Episode 319, Total Reward: 30.55999999999998, Epsilon: 0.050
Episode 320, Total Reward: 36.85000000000298, Epsilon: 0.050
Episode 321, Total Reward: 146.6999999999992, Epsilon: 0.050
Episode 322, Total Reward: 31.339999999999986, Epsilon: 0.050
Episode 323, Total Reward: 90.1000000000002, Epsilon: 0.050
Episode 324, Total Reward: 85.59000000000007, Epsilon: 0.050
Episode 325, Total Reward: 31.529999999999998, Epsilon: 0.050
Episode 326, Total Reward: 89.35000000000001, Epsilon: 0.050
Episode 327, Total Reward: 143.12999999999963, Epsilon: 0.050
Episode 328, Total Reward: 101.55999999999679, Epsilon: 0.050
Episode 329, Total Reward: 111.14999999999999, Epsilon: 0.050
Episode 330, Total Reward: 108.9099999999999, Epsilon: 0.050
Episode 331, Total Reward: 30.069999999999983, Epsilon: 0.050
Episode 332, Total Reward: 87.16000000000025, Epsilon: 0.050
Episode 333, Total Reward: 32.15999999999998, Epsilon: 0.050
Episode 334, Total Reward: 172.2999999999986, Epsilon: 0.050
Episode 335, Total Reward: 70.84999999998917, Epsilon: 0.050
Episode 336, Total Reward: 85.26000000000013, Epsilon: 0.050
Episode 337, Total Reward: 80.32999999999937, Epsilon: 0.050
Episode 338, Total Reward: 104.10000000000004, Epsilon: 0.050
Episode 339, Total Reward: 105.43000000000016, Epsilon: 0.050
Episode 340, Total Reward: 179.60999999999936, Epsilon: 0.050
Episode 341, Total Reward: 96.69999999999885, Epsilon: 0.050
Episode 342, Total Reward: 112.69000000000013, Epsilon: 0.050
Episode 343, Total Reward: 85.0900000000001, Epsilon: 0.050
Episode 344, Total Reward: 83.10999999999937, Epsilon: 0.050
Episode 345, Total Reward: 102.42999999999967, Epsilon: 0.050
Episode 346, Total Reward: 85.16000000000021, Epsilon: 0.050
Episode 347, Total Reward: 147.90999999999886, Epsilon: 0.050
Episode 348, Total Reward: 139.63999999999942, Epsilon: 0.050
Episode 349, Total Reward: 32.56999999999998, Epsilon: 0.050
Episode 350, Total Reward: 29.699999999999985, Epsilon: 0.050
Episode 351, Total Reward: 108.29999999999976, Epsilon: 0.050
Episode 352, Total Reward: 109.96000000000024, Epsilon: 0.050
Episode 353, Total Reward: 142.30000000000035, Epsilon: 0.050
Episode 354, Total Reward: 183.46000000000063, Epsilon: 0.050
Episode 355, Total Reward: 174.89000000000024, Epsilon: 0.050
Episode 356, Total Reward: 31.440000000000005, Epsilon: 0.050
Episode 357, Total Reward: 136.07999999999885, Epsilon: 0.050
Episode 358, Total Reward: 29.739999999999995, Epsilon: 0.050
Episode 359, Total Reward: 81.93000000000028, Epsilon: 0.050
Episode 360, Total Reward: 32.90000000000001, Epsilon: 0.050
Episode 361, Total Reward: 98.88999999999969, Epsilon: 0.050
Episode 362, Total Reward: 152.47000000000003, Epsilon: 0.050
Episode 363, Total Reward: 32.66000000000001, Epsilon: 0.050
Episode 364, Total Reward: 92.41000000000028, Epsilon: 0.050
Episode 365, Total Reward: 29.739999999999984, Epsilon: 0.050
Episode 366, Total Reward: 97.84999999999995, Epsilon: 0.050
Episode 367, Total Reward: 100.9699999999998, Epsilon: 0.050
Episode 368, Total Reward: 143.80999999999995, Epsilon: 0.050
Episode 369, Total Reward: 89.58999999999615, Epsilon: 0.050
Episode 370, Total Reward: 156.38999999999956, Epsilon: 0.050
Episode 371, Total Reward: 77.05000000000021, Epsilon: 0.050
Episode 372, Total Reward: 88.689999999998, Epsilon: 0.050
Episode 373, Total Reward: 32.01, Epsilon: 0.050
Episode 374, Total Reward: 81.10000000000015, Epsilon: 0.050
Episode 375, Total Reward: 84.54000000000006, Epsilon: 0.050
Episode 376, Total Reward: 30.419999999999998, Epsilon: 0.050
Episode 377, Total Reward: 31.46999999999997, Epsilon: 0.050
Episode 378, Total Reward: 108.89000000000028, Epsilon: 0.050
Episode 379, Total Reward: 86.66999999999979, Epsilon: 0.050
Episode 380, Total Reward: 102.47999999999965, Epsilon: 0.050
Episode 381, Total Reward: 179.48999999999984, Epsilon: 0.050
Episode 382, Total Reward: 178.58000000000038, Epsilon: 0.050
Episode 383, Total Reward: 29.389999999999997, Epsilon: 0.050
Episode 384, Total Reward: 32.36, Epsilon: 0.050
Episode 385, Total Reward: 34.59000000000001, Epsilon: 0.050
Episode 386, Total Reward: 84.38000000000038, Epsilon: 0.050
Episode 387, Total Reward: 81.17999999999861, Epsilon: 0.050
Episode 388, Total Reward: 83.6800000000001, Epsilon: 0.050
Episode 389, Total Reward: 30.329999999999984, Epsilon: 0.050
Episode 390, Total Reward: 32.559999999999995, Epsilon: 0.050
Episode 391, Total Reward: 90.08999999999762, Epsilon: 0.050
Episode 392, Total Reward: 33.019999999999996, Epsilon: 0.050
Episode 393, Total Reward: 86.06000000000009, Epsilon: 0.050
Episode 394, Total Reward: 111.99000000000014, Epsilon: 0.050
Episode 395, Total Reward: 98.41000000000001, Epsilon: 0.050
Episode 396, Total Reward: 105.76999999999974, Epsilon: 0.050
Episode 397, Total Reward: 106.75000000000013, Epsilon: 0.050
Episode 398, Total Reward: 75.2499999999881, Epsilon: 0.050
Episode 399, Total Reward: 178.71000000000024, Epsilon: 0.050
Episode 400, Total Reward: 125.25999999999722, Epsilon: 0.050
Episode 401, Total Reward: 30.470000000000006, Epsilon: 0.050
Episode 402, Total Reward: 134.9999999999954, Epsilon: 0.050
Episode 403, Total Reward: 96.69999999999898, Epsilon: 0.050
Episode 404, Total Reward: 110.31000000000024, Epsilon: 0.050
Episode 405, Total Reward: 146.09999999999886, Epsilon: 0.050
Episode 406, Total Reward: 84.11999999999999, Epsilon: 0.050
Episode 407, Total Reward: 106.32000000000019, Epsilon: 0.050
Episode 408, Total Reward: 85.52000000000017, Epsilon: 0.050
Episode 409, Total Reward: 26.32999999999998, Epsilon: 0.050
Episode 410, Total Reward: 147.75999999999942, Epsilon: 0.050
Episode 411, Total Reward: 88.65000000000022, Epsilon: 0.050
Episode 412, Total Reward: 13.510000000000025, Epsilon: 0.050
Episode 413, Total Reward: 13.660000000000025, Epsilon: 0.050
Episode 414, Total Reward: 26.879999999999995, Epsilon: 0.050
Episode 415, Total Reward: 177.93999999999957, Epsilon: 0.050
Episode 416, Total Reward: 86.86000000000027, Epsilon: 0.050
Episode 417, Total Reward: 31.049999999999994, Epsilon: 0.050
Episode 418, Total Reward: 75.87999999999852, Epsilon: 0.050
Episode 419, Total Reward: 140.1999999999999, Epsilon: 0.050
Episode 420, Total Reward: 110.53000000000013, Epsilon: 0.050
Episode 421, Total Reward: 29.559999999999988, Epsilon: 0.050
Episode 422, Total Reward: 85.60000000000022, Epsilon: 0.050
Episode 423, Total Reward: 93.19999999999895, Epsilon: 0.050
Episode 424, Total Reward: 81.85999999999973, Epsilon: 0.050
Episode 425, Total Reward: 136.80999999999892, Epsilon: 0.050
Episode 426, Total Reward: 105.22000000000014, Epsilon: 0.050
Episode 427, Total Reward: 30.889999999999986, Epsilon: 0.050
Episode 428, Total Reward: 79.14999999999979, Epsilon: 0.050
Episode 429, Total Reward: 94.49999999999991, Epsilon: 0.050
Episode 430, Total Reward: 99.84000000000002, Epsilon: 0.050
Episode 431, Total Reward: 142.48000000000033, Epsilon: 0.050
Episode 432, Total Reward: 32.129999999999995, Epsilon: 0.050
Episode 433, Total Reward: 168.44999999999584, Epsilon: 0.050
Episode 434, Total Reward: 76.54000000000143, Epsilon: 0.050
Episode 435, Total Reward: 137.26999999999998, Epsilon: 0.050
Episode 436, Total Reward: 31.160000000000007, Epsilon: 0.050
Episode 437, Total Reward: 30.369999999999987, Epsilon: 0.050
Episode 438, Total Reward: 180.86999999999972, Epsilon: 0.050
